"id","task_id","run_no","status","started_at","finished_at","result_count","hit_count","send_count","error_message","log_path","created_at"
6592	,8	,"8_4ed5939c861b4501892d2dd01f6e9443",completed,"2026-06-24 07:48:47.455097+08","2026-06-24 07:48:49.861826+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 07:48:47.456216+08"
6591	,3	,"3_b2f8d8ce410b44f1a018e384c7668522",completed,"2026-06-24 07:48:47.452092+08","2026-06-24 07:49:51.960373+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 07:48:47.453884+08"
6590	,3	,"3_faddf481476b4d28896b8599d8fb3ff1",completed,"2026-06-24 07:18:47.429006+08","2026-06-24 07:19:54.178725+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 07:18:47.431276+08"
6589	,3	,"3_a9f6469b917c43638da17cf5b0d892c3",completed,"2026-06-24 06:48:47.438832+08","2026-06-24 06:49:50.112331+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 06:48:47.441024+08"
6588	,3	,"3_ad543bdb35ba4d189c2db108d096ede6",completed,"2026-06-24 06:18:47.428771+08","2026-06-24 06:19:53.664531+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 06:18:47.431195+08"
6587	,8	,"8_11e67dd55de24a6bb6862ef5103b22b5",running,"2026-06-24 05:48:47.446062+08",,0	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 05:48:47.447200+08"
6586	,3	,"3_01a1465700da46b58a7424c4707b7a90",completed,"2026-06-24 05:48:47.429147+08","2026-06-24 05:49:53.174309+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 05:48:47.431498+08"
6585	,3	,"3_d0cf517d673449408eff7a34d1c2a3b0",completed,"2026-06-24 05:18:47.431502+08","2026-06-24 05:19:48.609321+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 05:18:47.433995+08"
6584	,3	,"3_62ef01b8ac284d028a76ef32f55eb549",completed,"2026-06-24 04:48:47.445982+08","2026-06-24 04:49:54.985198+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 04:48:47.447587+08"
6583	,3	,"3_7d202fc234ca4a37a19670195e78ca40",completed,"2026-06-24 04:18:47.429870+08","2026-06-24 04:19:51.739581+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 04:18:47.431837+08"
6582	,8	,"8_62c6336bb1ce4a4e9c18c23e3a9353f3",completed,"2026-06-24 03:48:47.441745+08","2026-06-24 03:48:52.037066+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 03:48:47.443318+08"
6581	,3	,"3_a5207a05e536496882c04667c8909c87",completed,"2026-06-24 03:48:47.435654+08","2026-06-24 03:49:53.661456+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 03:48:47.437805+08"
6580	,3	,"3_0b1022e07c3742fbb360020e6973a792",completed,"2026-06-24 03:18:47.428340+08","2026-06-24 03:19:52.738701+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 03:18:47.430363+08"
6579	,3	,"3_e2ebafa957a1494998510299bf13b782",completed,"2026-06-24 02:48:47.438081+08","2026-06-24 02:49:50.318485+08",1	,0	,0	,__EMPTY_TEXT__,__EMPTY_TEXT__,"2026-06-24 02:48:47.440847+08"
